[05-11-2020 07:38:23] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-mid/15986872/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:23] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-jordan-mars-270/15976389/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:24] 	 URL:https://www.jdsports.co.uk/product/red-jordan-dna-vestshorts-set-children/15990492/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:24] 	 URL:https://www.jdsports.co.uk/product/white-nike-jordan-max-200-mens-shoe/15986919/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:24] 	 URL:https://www.jdsports.co.uk/product/white-jordan-maxin-200/15976992/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:25] 	 URL:https://www.jdsports.co.uk/product/white-jordan-sticker-t-shirtshorts-set-children/15990504/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:25] 	 URL:https://www.jdsports.co.uk/product/white-jordan-max-aura-junior/15986409/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:25] 	 URL:https://www.jdsports.co.uk/product/white-jordan-max-aura-junior/15986251/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:26] 	 URL:https://www.jdsports.co.uk/product/white-nike-jordan-max-200-mens-shoe/15986244/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:26] 	 URL:https://www.jdsports.co.uk/product/white-nike-jordan-air-max-200-older-kids-shoe/15986890/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:26] 	 URL:https://www.jdsports.co.uk/product/black-jordan-why-not-zer03/15981696/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 07:38:27] 	 URL:https://www.jdsports.co.uk/product/white-jordan-maxin-200-junior/15986091/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:00] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-mid/15986872/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:01] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-jordan-mars-270/15976389/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:01] 	 URL:https://www.jdsports.co.uk/product/red-jordan-dna-vestshorts-set-children/15990492/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:02] 	 URL:https://www.jdsports.co.uk/product/white-nike-jordan-max-200-mens-shoe/15986919/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:03] 	 URL:https://www.jdsports.co.uk/product/white-jordan-maxin-200/15976992/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:03] 	 URL:https://www.jdsports.co.uk/product/white-jordan-max-aura-junior/15986409/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:04] 	 URL:https://www.jdsports.co.uk/product/white-jordan-max-aura-junior/15986251/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:05] 	 URL:https://www.jdsports.co.uk/product/white-nike-jordan-max-200-mens-shoe/15986244/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:05] 	 URL:https://www.jdsports.co.uk/product/black-jordan-why-not-zer03/15981696/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:06] 	 URL:https://www.jdsports.co.uk/product/white-nike-jordan-air-max-200-older-kids-shoe/15986890/ 'NoneType' object has no attribute 'find_all' 
[05-11-2020 15:39:07] 	 URL:https://www.jdsports.co.uk/product/white-jordan-maxin-200-junior/15986091/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 04:46:23] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-1-mid/16006118/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 04:46:24] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-mid-junior/15986906/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 04:46:24] 	 URL:https://www.jdsports.co.uk/product/black-jordan-air-1-low-junior/15976976/ 'NoneType' object has no attribute 'find_all' 
[07-23-2020 04:46:24] 	 URL:https://www.jdsports.co.uk/product/white-jordan-air-1-mid-junior/16010852/ 'NoneType' object has no attribute 'find_all' 
